КодНИС;НаименованиеНоменклатуры;ВидДлины;Производитель;ГОСТ;МаркаСтали;Диаметр;Диаметр;Размер2;Стенка;ТипПроизводства;РегионСклада;Склад;ИмеетсяЦенаТовара;ЦенаЗаТонну;ЦенаЗаТонну1;ЦенаЗаТонну2;ЦенаЗаМетр;ЦенаЗаМетр1;ЦенаЗаМетр2
"2317234";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст35, 57 * 14  , ОД, ПНТЗ";"ОД";"ПНТЗ";"8732-78, 8731-74, В";"35";57;57;0;14;"Горячедеформированные трубы";"76";"Склад г. Ярославль филиал (АО «База металлопродукции») нов.";"Нет";0;0;0;0;0;0
"2317379";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 219 * 14  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, В";"20";219;219;0;14;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2317508";"ТРУБЫ б/ш г/д общ назн EN 10210-2, EN 10210-1, СтS355J2H, 171.7 * 22.5  , ОД, ПНТЗ";"ОД";"ПНТЗ";"EN 10210-2, EN 10210-1";"S355J2H";171.7;171.7;0;22.5;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2317515";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст13ХФА, 60 * 5  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"13ХФА";60;60;0;5;"Горячедеформированные трубы";"55";"Склад г. Омск (ООО ""УралСибТрейд-Омск"")";"Нет";0;0;0;0;0;0
"2317539";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа Б, Ст10, 76 * 6  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, Б";"10";76;76;0;6;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2317682";"ТРУБЫ б/ш х/д ГОСТ 9567-75, ГОСТ 8733-74 Группа В, Ст20, 30П * 2.6  , МР, ПНТЗ";"МР";"ПНТЗ";"9567-75, 8733-74, В";"20";30;30;0;2.6;"Холоднодеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2317682";"ТРУБЫ б/ш х/д ГОСТ 9567-75, ГОСТ 8733-74 Группа В, Ст20, 30П * 2.6  , МР, ПНТЗ";"МР";"ПНТЗ";"9567-75, 8733-74, В";"20";30;30;0;2.6;"Холоднодеформированные трубы";"54";"Склад г. Новосибирск (""Феррум"")";"Нет";0;0;0;0;0;0
"2317727";" ГОСТ 32528-2013 Группа В, Ст09Г2С, 159 * 7  , МР, ПНТЗ";"МР";"ПНТЗ";"32528-2013, В";"09Г2С";159;159;0;7;"Горячедеформированные трубы";"66";"Склад г. Екатеринбург ( ООО ""АКОРТЕС"" )";"Нет";0;0;0;0;0;0
"2317962";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст20, 57 * 9  , МР, ПНТЗ";"МР";"ПНТЗ";"8732-78, 8731-74, В";"20";57;57;0;9;"Горячедеформированные трубы";"50";"Склад г. Москва (АО ""Жилевская металлобаза"")  нов.";"Нет";75833.34;75833.34;75833.34;807.9;807.9;807.9
"2318146";"ТРУБЫ б/ш г/д общ назн ГОСТ 8732-78, ГОСТ 8731-74 Группа В, Ст10, 178 * 18  , НД, ПНТЗ";"НД";"ПНТЗ";"8732-78, 8731-74, В";"10";178;178;0;18;"Горячедеформированные трубы";"52";"Склад г. Нижний Новгород (ООО ""Авангард"")";"Нет";0;0;0;0;0;0
